dictionary_id	entry	slug	source_filename
166	jari (iˈari)	jari-i-ari	jari.webm
167	jawu meri ji	jawu-meri-ji	jawumeriji.wav
168	je 1	je-1	je.webm
169	je 2	je-2	je.webm
170	je 3	je-3	je.webm
171	jekiripagado	jekiripagado	jekiripagado.webm
172	jeredudu	jeredudu	jeredudu01.wav
173	jeri	jeri	jeri.webm
174	jerigi	jerigi	jerigi.webm
176	jerorewu	jerorewu	jerorewu.webm
177	jetu pemegarewu	jetu-pemegarewu	jetupemegarewu.webm
178	jewodu	jewodu	jewodu.webm
179	jodo to	jodo-to	jodoto.webm
180	joku	joku	joku.webm
181	joku bu	joku-bu	jokubu.webm
183	joru	joru	joru.webm
183	joru	joru	joru01.wav
183	joru	joru	joru02.wav
184	joru kejewu	joru-kejewu	jorukejewu.webm
185	joru tugu	joru-tugu	joruTugu.wav
186	jorubo	jorubo	jorubo.webm
187	jorubo kuru	jorubo-kuru	jorubukuru.webm
189	jorudu pegare	jorudu-pegare	jorudupegare.webm
190	jorududu	jorududu	jorududo.wav
191	joruduiwa	joruduiwa	joruduwawo.wav
191	joruduiwa	joruduiwa	joruduwawo1.wav
192	jorudure	jorudure	jorudure.webm
194	ju	ju	ju.webm
197	jukudu	jukudu	jukudu.webm
199	kado	kado	kado.webm
199	kado	kado	kado01.wav
200	kado oiado	kado-oiado	kadooiado.webm
201	kagariga aredu	kagariga-aredu	kagarigaaredu.webm
202	kaibá	kaiba	kaiba.wav
202	kaibá	kaiba	kaiba01.wav
202	kaibá	kaiba	kaiba02.wav
205	kanaiwo	kanaiwo	kanaiwo01.wav
205	kanaiwo	kanaiwo	kaniwo.wav
206	karao	karao	kara.wav
207	kowo	kowo	kawa.wav
208	kaworu	kaworu	kaworu.webm
208	kaworu	kaworu	kaworu00.webm
209	keragu	keragu	keragu.webm
212	kiogo corewu	kiogo-corewu	kiogocorewu.webm
217	kodure	kodure	kodure.webm
218	kogoriga (kagariga)	kogoriga-kagariga	kagariga.webm
218	kogoriga (kagariga)	kogoriga-kagariga	kagariga01.wav
218	kogoriga (kagariga)	kogoriga-kagariga	kogariga.webm
219	koia	koia	koia.webm
220	kojari (kôjari)	kojari-kojari	kojari.webm
221	korao	korao	korao.webm
222	korawu	korawu	korawu.webm
223	kore	kore	kore.wav
223	kore	kore	kore01.wav
224	korobadu	korobadu	korobadure.wav
225	kowaru	kowaru	kowaru.wav
227	kuborogodu	kuborogodu	kuborogodu.wav
228	kudae	kudae	kudae.webm
229	kudu	kudu	ikuduwo.wav
230	kugaru	kugaru	kugaru01.wav
230	kugaru	kugaru	kugaru02.wav
232	kuibokwa (kuribo okwa)	kuibokwa-kuribo-okwa	kuibokwa.webm
233	kuieje	kuieje	kuieje01.wav
233	kuieje	kuieje	kuieje02.wav
234	kuieje (ikuieje)	kuieje-ikuieje	kuieje.webm
235	kumara	kumara	kumara.webm
239	kuri butu	kuri-butu	kuributu.webm
240	kurodureboe	kurodureboe	kurodureboe.webm
241	magaracada	magaracada	magaracada.wav
242	maido	maido	maido.webm
244	maku	maku	maku.webm
247	marugodu peguru	marugodu-peguru	marugoduPeguru.wav
247	marugodu peguru	marugodu-peguru	marugodupeguru.wav
248	mato	mato	mata.wav
248	mato	mato	mato.wav
249	mearudu (meardu)	mearudu-meardu	mearudu.webm
249	mearudu (meardu)	mearudu-meardu	mearudu01.webm
250	mearutoru	mearutoru	mearutoru.webm
251	mekire	mekire	mekire.webm
252	meri jamedu ji	meri-jamedu-ji	merijameduji.webm
253	meri rutu	meri-rutu	merirutu.webm
256	meri3	meri3	meri01.wav
256	meri3	meri3	meri02.wav
258	merire kodu tabo	merire-kodu-tabo	merireKoduTabo.wav
260	meriri jira	meriri-jira	meririJira.wav
261	meriri kuru	meriri-kuru	meririkuru.webm
262	meru1	meru1	meru.wav
264	metu pemegado	metu-pemegado	metupemegado.webm
265	metuia (f. metago pl. metage)	metuia-f-metago-pl-metage	metuia01.wav
265	metuia (f. metago pl. metage)	metuia-f-metago-pl-metage	metuia02.wav
266	mi	mi	mi.webm
266	mi	mi	mi00.webm
267	mito	mito	mito02.wav
269	mokuro kuru	mokuro-kuru	imoguruKuru.wav
270	mokuru kuru tawuje	mokuru-kuru-tawuje	mokurukurutawuje.webm
271	morido	morido	morido.wav
271	morido	morido	morido01.wav
272	morora ra	morora-ra	morora.webm
273	morora1	morora1	morora.webm
274	morora2	morora2	morora.webm
275	moto	moto	moto01.wav
276	moto magadu	moto-magadu	motomagadu.webm
277	moto ri	moto-ri	motori.wav
278	motudu	motudu	motudu.wav
278	motudu	motudu	motudure.wav
279	muga pega	muga-pega	mugapega.wav
280	mugu	mugu	amugudoKeje.wav
280	mugu	mugu	mugu.wav
281	nogwaredu (pl. nogware)	nogwaredu-pl-nogware	nogwaredu.webm
282	nowu1	nowu1	nowu.wav
282	nowu1	nowu1	nowu00.wav
282	nowu1	nowu1	nowu01.wav
283	nowu2	nowu2	nowu.wav
283	nowu2	nowu2	nowu00.wav
283	nowu2	nowu2	nowu01.wav
285	nudu	nudu	inuduwo.wav
286	nuiao	nuiao	nuiao.webm
287	o boe	o-boe	oboe.wav
289	o3	o3	o02.wav
289	o3	o3	o03.wav
289	o3	o3	o3.wav
292	odo	odo	itodoKeje.wav
293	oedo (toˈedo)	oedo-to-edo	toedoJi.wav
294	ogwariwo	ogwariwo	ogwariwo.wav
297	ojá	oja	oja.wav
298	okwa1	okwa1	okwa.webm
298	okwa1	okwa1	okwa02.wav
300	okwa3	okwa3	okwa.webm
300	okwa3	okwa3	okwa02.wav
301	okwage	okwage	inogwagewo.wav
302	okwaji	okwaji	okwaji.webm
303	okwatorurewu	okwatorurewu	okwatorurewu.webm
304	ora	ora	ora.wav
305	ora bu	ora-bu	orabu.webm
306	oredu bire piji	oredu-bire-piji	oredubirepiji.wav
307	orituginai	orituginai	orituginai.wav
